wav_filename,wav_filesize,transcript
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence 1.wav,1972302,The	first	permanent	state	in	the	territory	of	present-day	Ghana	dates	back	to	the	11th	century
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence 10.wav,2575950,Ghana's	population	of	approximately	30	million	spans	a	variety	of	ethnic	linguistic	and	religious	groups
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence 2.wav,2603598,Ghana	is	a	unitary	constitutional	democracy	led	by	a	president	who	is	both	head	of	state	and	head	of	the	government
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence 3.wav,2635854,It	became	independent	of	the	United	Kingdom	on	6	March	1957
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence 4.wav,1456206,The	flag	of	Ghana	consisting	of	the	colours	red	gold	green	and	a	black	star	became	the	new	flag	in	1957	when	Gold	Coast	gained	its	name	Ghana
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence 5.wav,3414606,Nkrumah	was	the	first	African	head	of	state	to	promote	the	concept	of	Pan-Africanism
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence 6.wav,1285710,On	6	March	1957	at	12	am	Nkrumah	declared	Ghana's	establishment	and	autonomy
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence 7.wav,2046030,On	1	July	1960	following	the	Ghanaian	constitutional	referendum	1960	and	Ghanaian	presidential	election	1960	Nkrumah	declared	Ghana	as	a	republic	as	the	first	President	of	Ghana
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence 8.wav,3649614,The	red	represents	the	blood	that	was	shed	towards	independence	the	gold	represents	the	industrial	minerals	wealth	of	Ghana	the	green	symbolises	the	rich	grasslands	of	Ghana	and	the	black	star	is	the	symbol	of	the	Ghanaian	people	and	African	emancipation
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence 9.wav,4280910,Ghana	is	a	member	of	the	Non-Aligned	Movement	the	African	Union	the	Economic	Community	of	West	African	States	and	the	Commonwealth	of	Nations
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence11.wav,335694,Ghana	is	a	country	located	along	the	Gulf	of	Guinea	and	Atlantic	Ocean	in	the	subregion	of	West	Africa
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence12.wav,399438,Ghana	is	bordered	by	the	Ivory	Coast	in	the	west	Burkina	Faso	in	the	north	Togo	in	the	east	and	the	Gulf	of	Guinea	and	Atlantic	Ocean	in	the	south
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence13.wav,371022,Numerous	kingdoms	and	empires	emerged	over	the	centuries	of	which	the	most	powerful	was	the	Kingdom	of	Ashanti
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence14.wav,521550,According	to	the	2010	census	71	2%	of	the	population	was	Christian	17	6%	was	Muslim	and	5	2%	practised	traditional	faiths
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence15.wav,318030,Its	diverse	geography	and	ecology	ranges	from	coastal	savannahs	to	tropical	rain	forests
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence16.wav,360270,Following	over	a	century	of	native	resistance	Ghana's	current	borders	were	established	by	the	1900s	as	the	British	Gold	Coast
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence17.wav,269646,Ghana	was	already	recognized	as	one	of	the	great	kingdoms	in	Bilad	el-Sudan	by	the	ninth	century
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence18.wav,392526,Ghana	was	inhabited	in	the	Middle	Ages	and	the	Age	of	Discovery	by	a	number	of	ancient	predominantly	Akan	kingdoms	in	the	Southern	and	Central	territories
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence19.wav,332622,This	included	the	Ashanti	Empire	the	Akwamu	the	Bonoman	the	Denkyira	and	the	Mankessim	Kingdom
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence20.wav,416334,Although	the	area	of	present-day	Ghana	in	West	Africa	has	experienced	many	population	movements	the	Akans	were	firmly	settled	by	the	5th	century	BC
C:/Users/Mustapha/Desktop/Nokwary/audios/wave/clips/sentence21.wav,379470,By	the	early	11th	century	the	Akans	were	firmly	established	in	the	Akan	state	called	Bonoman	for	which	the	Brong-Ahafo	Region	is	named
